CM  ,M,MINT,    ,CSCI060  HM ,2014,SP  ,INT
CM  ,F,MMBI,    ,CSCI060  HM ,2012,SP  ,MBI
CM  ,F,MNEU,    ,CSCI060  HM ,2014,SP  ,NEU
CM  ,M,PCSI,    ,CSCI060  HM ,2012,SP  ,CSI
CM  ,F,MBIO,    ,CSCI060  HM ,2014,SP  ,BIO
CM  ,M,MBIO,    ,CSCI060  HM ,2014,SP  ,BIO
CM  ,M,MBIO,    ,CSCI060  HM ,2014,SP  ,BIO
CM  ,M,MNEU,    ,CSCI060  HM ,2014,SP  ,NEU
CM  ,M,MECO,    ,CSCI060  HM ,2012,SP  ,ECO
CM  ,M,MMAT,    ,CSCI060  HM ,2012,FA  ,MAT
CM  ,M,PCSI,    ,CSCI060  HM ,2013,SP  ,CSI
CM  ,M,MBPH,    ,CSCI060  HM ,2014,SP  ,BPH
CM  ,M,MPPE,    ,CSCI060  HM ,2015,FA  ,PPE
CM  ,F,MECO,    ,CSCI060  HM ,2014,SP  ,ECO
CM  ,F,PCSI,    ,CSCI060  HM ,2015,FA  ,CSI
CM  ,F,MSMG,    ,CSCI060  HM ,2014,FA  ,SMG
CM  ,M,PCSI,    ,CSCI060  HM ,2013,SP  ,CSI
CM  ,M,HCSI,    ,CSCI060  HM ,2014,SP  ,CSI
CM  ,M,MECO,    ,CSCI060  HM ,2013,FA  ,ECO
CM  ,F,MECO,    ,CSCI060  HM ,2014,FA  ,ECO
CM  ,F,MECO,    ,CSCI060  HM ,2014,SP  ,ECO
CM  ,F,MPSY,    ,CSCI060  HM ,2014,SP  ,PSY
CM  ,F,MPHI,    ,CSCI060  HM ,2012,FA  ,PHI
CM  ,M,MBIO,    ,CSCI060  HM ,2015,SP  ,BIO
CM  ,F,MINT,    ,CSCI060  HM ,2014,SP  ,INT
CM  ,F,MECO,    ,CSCI060  HM ,2014,FA  ,ECO
CM  ,M,MBIC,    ,CSCI060  HM ,2014,SP  ,BIC
CM  ,M,MPPE,    ,CSCI060  HM ,2014,FA  ,PPE
CM  ,M,HCSI,    ,CSCI060  HM ,2014,SP  ,CSI
CM  ,M,MECO,    ,CSCI060  HM ,2014,FA  ,ECO
CM  ,F,MECO,    ,CSCI060  HM ,2014,SP  ,ECO
CM  ,M,HCSI,MECO,CSCI060  HM ,2013,SP  ,CSI
CM  ,M,MECO,    ,CSCI060  HM ,2014,FA  ,ECO
CM  ,M,MPHY,MPHI,CSCI060  HM ,2015,SP  ,PHY
CM  ,F,MGOV,    ,CSCI060  HM ,2014,SP  ,GOV
CM  ,M,MECO,    ,CSCI060  HM ,2016,SP  ,ECO
